ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
19;High speed synchrotron X-ray diffraction experiments resolve microstructure and phase transformation in laser processed Ti-6Al-4V;oct-03;2021;"Oh, SA; Lim, RE; (...); Rollett, AD";MATERIALS RESEARCH LETTERS;6;42
20;A security dividend: Peacekeeping and maternal health outcomes and access;Mar;2021;Gizelis, TI and Cao, X;JOURNAL OF PEACE RESEARCH;4;62
21;Water Management for Agriculture, Energy, and Social Security in Taiwan;May;2015;Tung, YT and Pai, TY;CLEAN-SOIL AIR WATER;10;19
22;Sintering effect on microstructural evolution and mechanical properties of spark plasma sintered Ti matrix composites reinforced by reduced graphene oxides;oct-15;2018;"Dong, LL; Xiao, B; (...); Zhang, YS";CERAMICS INTERNATIONAL;46;40
23;Stimuli-Responsive Ti-Organic Gels and Aerogels Derived from Ti-Oxo Clusters: Hierarchical Porosity and Photocatalytic Activity;Dec2;2019;"Kim, B; Keum, Y; (...); Park, J";INORGANIC CHEMISTRY;9;39
24;INDIFFERENCE VALUATION OF MORTGAGE-BACKED SECURITIES IN THE PRESENCE OF PREPAYMENT RISK;Jul;2010;Zhou, T;MATHEMATICAL FINANCE;10;40
25;Do data security measures, privacy regulations, and communication standards impact the interoperability of patient health information? A cross-country investigation;Apr;2021;"Shrivastava, U; Song, JH; (...); Dietzman, D";INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS;3;49
26;Friction welding of conventional Ti-6Al-4V alloy with a Ti-6Al-4V based metal matrix composite reinforced by TiC;Mar;2021;"Prikhodko, SV; Savvakin, DG; (...); Deley, F";WELDING IN THE WORLD;1;46
27;Lock-in Infrared Thermography for Fatigue Limit Estimation in Ti-6Al-4V Alloy;Mar;2021;"Matsunaga, T; Nagashima, N and Sugimoto, S";MATERIALS TRANSACTIONS;1;18
28;Formation mechanism and microstructural and mechanical properties of in-situ Ti-Ni-based composite coatings by laser metal deposition;Apr15;2016;"Ma, CL; Gu, DD; (...); Shi, QM";SURFACE & COATINGS TECHNOLOGY;11;33
29;Electrochemical oxidation of electrodialysed reverse osmosis concentrate on Ti/Pt-IrO2, Ti/SnO2-Sb and boron-doped diamond electrodes;Jan1;2013;"Bagastyo, AY; Batstone, DJ; (...); Radjenovic, J";WATER RESEARCH;102;38
30;Reconviction and revocation rates in Flanders after medium security treatment;Jul-aug;2016;"Jeandarme, I; Habets, P; (...); Bogaerts, S";INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY;15;60
31;Uncertainty, Intelligence, and National Security Decisionmaking;jul-03;2021;Mandel, DR and Irwin, D;INTERNATIONAL JOURNAL OF INTELLIGENCE AND COUNTERINTELLIGENCE;5;138
32;Formation Of The Regional Economic Security System As An Important Direction Of Socio-Oriented Indicative Planning;Sep;2018;"Danilov, IP; Ilyina, EA; (...); Trukova, AI";MODERN JOURNAL OF LANGUAGE TEACHING METHODS;-;15
33;Electrochemical degradation of the beta-blocker metoprolol by Ti/Ru0.7Ir0.3O2 and Ti/SnO2-Sb electrodes;May;2011;"Radjenovic, J; Escher, BI and Rabaey, K";WATER RESEARCH;53;35
34;Risk Factors Associated With Inpatient Violence During Medium Security Treatment;Sep;2019;"Jeandarme, I; Wittouck, C; (...); Bogaerts, S";JOURNAL OF INTERPERSONAL VIOLENCE;12;70
35;Excitation functions of the Cr-nat(p,x)Ti-44, Fe-56(p,x)Ti-44, natNi(p,x)Ti-44 and Nb-93(p,x)Ti-44 reactions at energies up to 2.6 GeV;jun-11;2016;"Titarenko, YE; Batyaev, VF; (...); Stankovskiy, AY";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;3;18
36;EFFECT OF MICROSTRUCTURE, DEFORMATION MODE AND RATE ON MECHANICAL BEHAVIOUR OF ELECTRON-BEAM MELTED Ti-6Al-4V AND Ti-1.5Al-6.8Mo-4.5Fe ALLOYS;Jul-sep;2018;"Ivasishin, OM; Akhonin, SV; (...); Markovsky, PE";USPEKHI FIZIKI METALLOV-PROGRESS IN PHYSICS OF METALS;4;33
37;An approach to separating Pu, U, and Ti from high-purity graphite for isotopic analysis by MC-ICP-MS;jun-01;2021;"Metzger, SC; Manard, BT; (...); Hexel, CR";JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY;1;48
38;Correcting Judgment Correctives in National Security Intelligence;Dec21;2018;Mandel, DR and Tetlock, PE;FRONTIERS IN PSYCHOLOGY;9;34
39;Initial results from a multiple monoenergetic gamma radiography system for nuclear security;oct-01;2016;"O'Day, BE; Hartwig, ZS; (...); Danagoulian, A";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;11;22
40;PERSPECTIVE DIRECTIONS OF ECONOMIC COOPERATION BETWEEN UKRAINE AND BELARUS AS A FACTOR OF REGIONAL SECURITY;oct-01;2017;Derii, ZV and Zosymenko, TI;SCIENTIFIC BULLETIN OF POLISSIA;-;7
41;Spall fracture in additive manufactured Ti-6Al-4V;oct-07;2016;"Jones, DR; Fensin, SJ; (...); Gray, GT";JOURNAL OF APPLIED PHYSICS;21;31
42;Talking security and rights The framing of counter-terrorism legislation in the UK;oct-07;2017;Demirsu, I;JOURNAL OF LANGUAGE AND POLITICS;3;25
43;Improved tensile properties of Mg-8Sn-1Zn alloy induced by minor Ti addition;May;2016;"Cheng, WL; Tian, QW; (...); Rong, SF";CHINA FOUNDRY;3;31
44;Experimental and theoretical study of Ti-6Al-4V to 220 GPa;jun-07;2012;"MacLeod, SG; Tegner, BE; (...); Ackland, GJ";PHYSICAL REVIEW B;12;48
45;TRENDS IN Ti-44 AND Ni-56 FROM CORE-COLLAPSE SUPERNOVAE;Nov;2010;"Magkotsios, G; Timmes, FX; (...); Wiescher, M";ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES;80;64
46;Effects of oxidation on reaction front instabilities and average propagation speed in Ni/Ti multilayer foils;mar-14;2013;"McDonald, JP; Reeves, RV; (...); Adams, DP";JOURNAL OF APPLIED PHYSICS;8;29
47;Irradiation performance of U-Mo-Ti and U-Mo-Zr dispersion fuels in Al-Si matrixes;Aug;2012;"Kim, YS; Hofman, GL; (...); Yang, JH";JOURNAL OF NUCLEAR MATERIALS;14;27
48;Self-terminating etching process for automated support removal and surface finishing of additively manufactured Ti-6Al-4 V;Jan;2021;"Raikar, S; Heilig, M; (...); Hildreth, OJ";ADDITIVE MANUFACTURING;3;26
49;Luminescence improvement of (Ti,Si)O2:Eu3+/Li+ spherical particles for anti-counterfeiting application;jul-15;2021;Min, BH and Jung, KY;MATERIALS CHEMISTRY AND PHYSICS;2;28
50;Rapid Solidification in Bulk Ti-Nb Alloys by Single-Track Laser Melting;Aug;2018;"Roehling, JD; Perron, A; (...); McKeown, JT";JOM;19;47
51;Enhanced visible-light-induced photocatalytic degradation of tetracycline using BiOI/MIL-125(Ti) composite photocatalyst;feb-15;2021;"Jiang, W; Li, Z; (...); Che, GB";JOURNAL OF ALLOYS AND COMPOUNDS;45;69
52;The softening factor c(b) of commercial titanium alloy wires;Nov;2019;"Jankowski, AF; Chames, JM; (...); Brannigan, EM";INTERNATIONAL JOURNAL OF MATERIALS RESEARCH;-;49
53;Performance of opportunistic scheduling for physical layer security with transmit antenna selection;mar-04;2014;Shrestha, AP and Kwak, KS;EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING;3;26
54;Turkey's Candidature to the UN Security Council Seat in 1948: Why the West's 'Favorite' Candidate Lost;Jun;2021;Balci, A and Duman, TI;TURKISH HISTORICAL REVIEW;-;77
55;Ambient and High-Temperature Bulk Characterization of Additively Manufactured Ti-6Al-4V Using Neutron Diffraction;Sep;2018;"Vogel, SC; Takajo, S; (...); Yeheskel, O";JOM;8;38
56;Enhanced work hardening from oxygen-stabilized omega precipitates in an aged metastable beta Ti-Nb alloy;Nov;2021;"Chou, K; Li, N and Marquis, EA";ACTA MATERIALIA;-;61
57;Confia en mi, Confio en ti: Applying developmental theory to mitigate sociocultural risk in Latinx families;May;2021;"Borelli, JL; Yates, TM; (...); Guerra, N";DEVELOPMENT AND PSYCHOPATHOLOGY;6;81
58;Coordination Chemistry and QTAIM Analysis of Homoleptic Dithiocarbamate Complexes, M((S2CNPr2)-Pr-i)(4) (M = Ti, Zr, Hf, Th, U, Np);sept-03;2018;"Behrle, AC; Myers, AJ; (...); Walensky, JR";INORGANIC CHEMISTRY;16;52
59;Stabilization of M-IV = Ti, Zr, Hf, Ce, and Th using a selenium bis(phenolate) ligand;sept-03;2015;"Behrle, AC; Levin, JR; (...); Walensky, JR";DALTON TRANSACTIONS;22;48
60;Visible-light-driven CQDs@MIL-125(Ti) nanocomposite photocatalyst with enhanced photocatalytic activity for the degradation of tetracycline;oct-17;2019;"Li, Z; Che, GB; (...); Wang, HR";RSC ADVANCES;27;74
61;Stability and dewetting kinetics of thin gold films on Ti, TiOx and ZnO adhesion layers;Dec;2013;"Schaefer, BT; Cheung, J; (...); Nagarajan, V";ACTA MATERIALIA;11;27
62;Investigation of gamma strength functions and level density models effects on photon induced reaction cross-section calculations for the fusion structural materials Ti-46,Ti-50, V-51, Ni-58 and Cu-63;Jan;2019;"Ozdogan, H; Sekerci, M and Kaplan, A";APPLIED RADIATION AND ISOTOPES;13;18
63;Three-step resonance ionization of zirconium with Ti:Sapphire lasers;Aug;2019;"Liu, Y; Romero-Romero, E; (...); Stracener, DW";SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY;1;42
64;Charge transport features of CdTe-based X- and gamma-ray detectors with Ti and TiOx Schottky contacts;feb-01;2021;"Maslyanchuk, O; Solovan, M; (...); Gnatyuk, V";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;7;40
65;Threshold Implementations of GIFT: A Trade-Off Analysis;feb-01;2020;"Jati, A; Gupta, N; (...); Chang, D";IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;5;25
66;The Polyethnic Competence of Class Teacher as a Resource for Ensuring the Psychological Security of Pupils in a Polycultural Educational Environment;Sep;2017;"Kulikova, TI; Shalaginova, KS and Cherkasova, SA";EUROPEAN JOURNAL OF CONTEMPORARY EDUCATION;3;15
67;Preliminary Thermoluminescent Dosimeter Glow Curve Analysis with Automated Glow Peak Identification for LiF:Mg,Ti;Aug;2021;"Thiesen, JH; Hepker, JM; (...); Kearfott, KJ";HEALTH PHYSICS;-;21
68;Substrate cracking in Ti-6Al-4V driven by pulsed laser irradiation and oxidation;Aug15;2017;Espejo, HM and Bahr, DF;SURFACE & COATINGS TECHNOLOGY;16;24
69;Direct metal laser sintering synthesis of carbon nanotube reinforced Ti matrix composites: Densification, distribution characteristics and properties;Jan28;2016;Chang, K and Gu, DD;JOURNAL OF MATERIALS RESEARCH;16;36
70;Persistent luminescence warm-light LEDs based on Ti-doped RE2O2S materials prepared by rapid and energy-saving microwave-assisted synthesis;sept-07;2018;"de Carvalho, JM; Pedroso, CCS; (...); Brito, HF";JOURNAL OF MATERIALS CHEMISTRY C;29;56
71;Laser polishing for improving fatigue performance of additive manufactured Ti-6Al-4V parts;Feb;2021;"Lee, S; Ahmadi, Z; (...); Shamsaei, N";OPTICS AND LASER TECHNOLOGY;14;50
72;"First-principles studies of Ce-doped RE2M2O7 (RE = Y, La; M = Ti, Zr, Hf): A class of nonscintillators";Apr15;2011;"Chaudhry, A; Canning, A; (...); Derenzo, SE";JOURNAL OF APPLIED PHYSICS;30;59
73;Manufacturing and Security Challenges in 3D Printing;Jul;2016;"Zeltmann, SE; Gupta, N; (...); Karri, R";JOM;97;31
74;Laser-assisted processing of Ni-Al-Co-Ti under high pressure;Jul;2017;"Raju, SV; Hrubiak, R; (...); Saxena, S";MATERIALS AND MANUFACTURING PROCESSES;-;23
75;Sensitivity of Ti-44 and Ni-56 Production in Core-collapse Supernova Shock-driven Nucleosynthesis to Nuclear Reaction Rate Variations;Jul;2020;"Subedi, SK; Meisel, Z and Merz, G";ASTROPHYSICAL JOURNAL;2;83
76;TI-PUF: Toward Side-Channel Resistant Physical Unclonable Functions;Jul;2020;Aghaie, A and Moradi, A;IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;8;48
77;Design and Formal Analysis of an Authentication Protocol, eWMDP on Wearable Devices;Jul;2019;"Lu, B; Cao, RH; (...); Luo, XT";IEEE ACCESS;-;45
78;Neutron reflectometry investigations of interfacial structures of Ti/TiN layers deposited by magnetron sputtering;oct-01;2016;"Watkins, EB; Majewski, J; (...); Mara, NA";THIN SOLID FILMS;8;51
79;Quantifying Compositional Homogeneity in Pb(Zr,Ti)O-3 Using Atom Probe Tomography;Sep;2014;"Kirchhofer, R; Diercks, DR; (...); Brennecka, GL";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;20;74
80;Synthesis and Structure of (Ph4P)(2)MCl6 (M = Ti, Zr, Hf, Th, U, Np, Pu);may-21;2012;"Minasian, SG; Boland, KS; (...); Shuh, DK";INORGANIC CHEMISTRY;50;83
81;All-Ti(3)C(2)T(x)MXene Based Flexible On-chip Microsupercapacitor Array;Aug;2020;"Li, L; Chen, D and Shen, GZ";CHEMICAL RESEARCH IN CHINESE UNIVERSITIES;7;36
82;Improved Plasticity of Ti-Based Bulk Metallic Glass at Room Temperature by Electroless Thin Nickel Coating;Dec;2017;"Wang, X; Hu, XM; (...); Cui, CX";METALS;1;41
83;Incipient dynamic recrystallization and adiabatic shear bands in Ti?7Al studied via in situ X-ray diffraction;Jun;2021;"Magagnosc, DJ; Lloyd, JT; (...); Schuster, BE";INTERNATIONAL JOURNAL OF PLASTICITY;3;65
84;Who Should Be Responsible for Software Security? A Comparative Analysis of Liability Policies in Network Environments;May;2011;August, T and Tunca, TI;MANAGEMENT SCIENCE;36;92
85;A High-Temperature Neutron Diffraction and First-Principles Study of Ti3AlC2 and Ti-3(Al0.8Sn0.2)C-2;Feb;2014;"Lane, NJ; Vogel, SC; (...); Barsoum, MW";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;11;63
86;Gaussian-Process-Driven Adaptive Sampling for Reduced-Order Modeling of Texture Effects in Polycrystalline Alpha-Ti;Aug;2019;"Tallman, AE; Stopka, KS; (...); McDowell, DL";JOM;4;22
87;Evolution of Microstructure and mechanical properties of selective laser melted Ti-5Al-5V-5Mo-3Cr after heat treatments;jul-04;2019;"Carlton, HD; Klein, KD and Elmer, JW";SCIENCE AND TECHNOLOGY OF WELDING AND JOINING;26;34
88;High-pressure effects on nonfluorinated BiS2-based superconductors La1-xM(x)OBiS(2) (M = Ti and Th);Dec15;2017;"Fang, Y; Yazici, D; (...); Maple, MB";PHYSICAL REVIEW B;10;25
89;Laser-Assisted Gaussian Microstructure Patterned PDMS Encapsulated Ti-3 C-2 T-x (MXene)-Based Pressure Sensor for Object and Touch Detection;Aug1;2021;"Adepu, V; Kamath, K; (...); Sahatiya, P";IEEE SENSORS JOURNAL;4;37
90;Investment Universe Construction Based on the Theme Keyword Search;Aug1;2019;Kim, DG and Ko, B;IEEE ACCESS;-;26
91;Template-directed synthesis of Sm(2)Ti(2)O(7)nanoparticles: a FRET-based fluorescent chemosensor for the fast and selective determination of picric acid;oct-14;2020;"Kayhomayun, Z; Ghani, K and Zargoosh, K";NEW JOURNAL OF CHEMISTRY;5;73
92;LLTI: Low-Latency Threshold Implementations;oct-14;2021;"Arribas, V; Zhang, ZD and Nikova, S";IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;-;48
93;Texture analysis of additively manufactured Ti-6A1-4V using neutron diffraction;Oct;2018;"Pesach, A; Tiferet, E; (...); Caspi, EN";ADDITIVE MANUFACTURING;20;42
94;Microstructure and mechanical properties of SiC nanowires reinforced titanium matrix composites;Apr5;2020;"Liu, Y; Dong, LL; (...); Zhang, YS";JOURNAL OF ALLOYS AND COMPOUNDS;10;45
95;RE VIEW OF IN TER NAL CYBER AT TACKS IN NU CLEAR FA CIL I TIES AND AN AR TI FI CIAL NEU RAL NET WORK MODEL FOR IMPLEMENTING INTERNAL CYBERFORENSICS;Jun;2021;Campos, BM and Alamaniotis, M;NUCLEAR TECHNOLOGY & RADIATION PROTECTION;-;36
96;Property Improvement of Additively Manufactured Ti64 by Heat Treatment Characterized by In Situ High Temperature EBSD and Neutron Diffraction;Oct;2021;"Takajo, S; Tomida, T; (...); Vogel, SC";METALS;-;49
97;Field validity of the HCR-20 in forensic medium security units in Flanders;Oct;2017;"Jeandarme, I; Pouls, C; (...); Bogaerts, S";PSYCHOLOGY CRIME & LAW;17;64
98;Post-processing to Modify the alpha Phase Micro-Texture and beta Phase Grain Morphology in Ti-6Al-4V Fabricated by Powder Bed Electron Beam Melting;Jul;2019;"Nandwana, P; Lee, Y; (...); Babu, SS";METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;14;35
99;Dendrite size dependence of tensile plasticity of in situ Ti-based metallic glass matrix composites;Jan15;2014;"Zhang, T; Ye, HY; (...); Qiao, JW";JOURNAL OF ALLOYS AND COMPOUNDS;42;44
100;Modeling and Evaluation of Topological Insulator/Ferromagnet Heterostructure-Based Memory;Mar;2016;"Reza, AK; Fong, XY; (...); Roy, K";IEEE TRANSACTIONS ON ELECTRON DEVICES;8;38
101;AAoT: Lightweight attestation and authentication of low-resource things in IoT and CPS;Apr7;2018;"Feng, W; Qin, Y; (...); Feng, DG";COMPUTER NETWORKS;36;63
102;Efficient and secure chaotic S-Box for wireless sensor network;Feb;2014;"Zaibi, G; Peyrard, F; (...); Samet, M";SECURITY AND COMMUNICATION NETWORKS;22;37
103;Nature of the structural symmetries associated with hybrid improper ferroelectricity in Ca3X2O7 (X = Mn and Ti);jun-27;2019;"Liu, S; Zhang, H; (...); Tyson, TA";PHYSICAL REVIEW B;5;39
104;Size-Dependent Fluoride Removal Performance of a Magnetic Fe3O4@Fe-Ti Adsorbent and Its Defluoridation in a Fluidized Bed;mar-08;2017;"Zhang, C; Li, YZ; (...); Wang, TJ";INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH;12;36
105;Crystal Structure and Thermodynamic Stability of Ba/Ti-Substituted Pollucites for Radioactive Cs/Ba Immobilization;Aug;2015;"Xu, HW; Chavez, ME; (...); Nenoff, TM";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;13;32
106;Multi-layered structures of Ti-6Al-4V alloy and TiC and TiB composites on its base fabricated using blended elemental powder metallurgy;Jul;2019;"Ivasishin, OM; Markovsky, PE; (...); Prikhodko, SV";JOURNAL OF MATERIALS PROCESSING TECHNOLOGY;18;30
107;Tomographic reconstruction of a spatially-extended source from the perimeter of a restricted-access zone using a SCoTSS compton gamma imager;Dec;2021;"Murtha, NJ; Sinclair, LE; (...); MacLeod, AML";JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;-;33
108;Mechanisms of simultaneously enhanced strength and ductility of titanium matrix composites reinforced with nanosheets of graphene oxides;oct-15;2019;"Dong, LL; Xiao, B; (...); Zhang, YS";CERAMICS INTERNATIONAL;29;58
109;THE CONSTITUTIONAL COURT OF THE RUSSIAN FEDERATION ON ENSURING THE DIRECT ACTION OF THE CONSTITUTION BY SECURITY MEASURES;Apr;2017;Ryakhovskaya, TI;TOMSK STATE UNIVERSITY JOURNAL;-;11
110;Investigation of level density parameter effects on (p,n) and (p,2n) reaction cross-sections for the fusion structural materials Ti-48, Cu-63 and Zr-90;Oct;2018;"Ozdogan, H; Sekerci, M; (...); Kaplan, A";APPLIED RADIATION AND ISOTOPES;15;22
111;Unpredictable Bits Generation Based on RRAM Parallel Configuration;Feb;2019;"Arumi, D; Gomez-Pau, A; (...); Campabadal, F";IEEE ELECTRON DEVICE LETTERS;15;21
112;"High-pressure behavior of A(2)B(2)O(7) pyrochlore (A=Eu, Dy; B=Ti, Zr)";Jan28;2017;"Rittman, DR; Turner, KM; (...); Mao, WL";JOURNAL OF APPLIED PHYSICS;30;45
113;Integrated Simulation Framework for Additively Manufactured Ti-6Al-4V: Melt Pool Dynamics, Microstructure, Solid-State Phase Transformation, and Microelastic Response;Oct;2019;"Shi, RP; Khairallah, S; (...); Matthews, MJ";JOM;26;44
114;A new MAX phases-based electroconductive coating for high-temperature oxidizing environment;Dec1;2021;"Prikhna, TA; Ostash, OP; (...); Bortnitskaya, MA";COMPOSITE STRUCTURES;2;30
115;THE ANTECEDENTS OF EMPLOYEE TURNOVER INTENTIONS IN THE POLICE FORCE IN THE UNITED ARAB EMIRATES: A CONCEPTUAL FRAMEWORK;Dec1;2017;"Alhashmi, M; Jabeen, F; (...); Papastathopoulos, A";INTERNATIONAL JOURNAL OF BUSINESS AND SOCIETY;2;109
116;Atomistic analysis of the {10(1)over-bar2} twin stability and growth in alpha-Ti;Aug7;2018;"Martinez, E; Capolungo, L and Tome, CN";PHYSICAL REVIEW MATERIALS;6;37
117;Surface roughness parameter and modeling for fatigue behavior of additive manufactured parts: A non-destructive data-driven approach;Oct;2021;"Lee, S; Rasoolian, B; (...); Shamsaei, N";ADDITIVE MANUFACTURING;8;65
118;Finite element simulation and experimental investigation of residual stresses in selective laser melted Ti-Ni shape memory alloy;May;2016;Gu, DD and He, BB;COMPUTATIONAL MATERIALS SCIENCE;79;49
119;Effect of Annealing on the Mechanical and Thermomechanical Characteristics of the Ti(50)Pd(40)Ni(10)High-Temperature Shape Memory Alloy Studied on the Rod-Like Blank;Aug;2020;"Popov, NN; Presnyakov, DV; (...); Kostyleva, AA";PHYSICS OF METALS AND METALLOGRAPHY;1;10
120;Improving information evaluation for intelligence production;Aug;2019;Irwin, D and Mandel, DR;INTELLIGENCE AND NATIONAL SECURITY;7;109
121;Modelling the intended use of Facebook privacy settings;oct-27;2020;Read, K and van der Schyff, K;SOUTH AFRICAN JOURNAL OF INFORMATION MANAGEMENT;1;52
122;Sandia fracture challenge 2: Sandia California's modeling approach;Mar;2016;"Karlson, KN; Foulk, JW; (...); Veilleux, MG";INTERNATIONAL JOURNAL OF FRACTURE;8;36
123;An RFID Authentication Protocol for EPC Class 1 Generation 2 Standard;Sep;2014;"Chuang, TI; Yang, WN and Lo, NW";JOURNAL OF INTERNET TECHNOLOGY;2;13
124;Proton-induced reactions on Fe, Cu, and Ti from threshold to 55 MeV;Mar;2021;"Voyles, AS; Lewis, AM; (...); Matthews, EF";EUROPEAN PHYSICAL JOURNAL A;2;123
125;Compressive Sensing-Based Topology Identification for Smart Grids;Apr;2016;"Babakmehr, M; Simoes, MG; (...); Harirchi, F";IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;53;34
126;Oxygen-diffusion limited metal combustions in Zr, Ti, and Fe foils: Time- and angle-resolved x-ray diffraction studies;mar-15;2012;"Wei, HY; Yoo, CS; (...); Shen, GY";JOURNAL OF APPLIED PHYSICS;2;37
127;Composite WO3/TiO2 Nanostructures for High Electrochromic Activity;feb-04;2015;"Reyes-Gil, KR; Stephens, ZD; (...); Robinson, DB";ACS APPLIED MATERIALS & INTERFACES;84;24
128;Quality of Life @ Palava Smart City: A Case Study;Jun;2019;"Madakam, S; Ramaswamy, R and Date, H";GLOBAL BUSINESS REVIEW;2;51
129;Electrocatalytic degradation of rice straw lignin in alkaline solution through oxidation on a Ti/SnO2-Sb2O3/-PbO2/-PbO2 anode and reduction on an iron or tin doped titanium cathode;oct-21;2018;"Jia, YQ; Wen, YQ; (...); Li, G";CATALYSIS SCIENCE & TECHNOLOGY;23;37
130;Survey and benchmark of lightweight block ciphers for MSP430 16-bit microcontroller;Dec;2015;"Cazorla, M; Gourgeon, S; (...); Minier, M";SECURITY AND COMMUNICATION NETWORKS;9;72
